scientific_name	rank
Detonula	genus
Dexamine	genus
Dicroerisma	genus
Dictyota	genus
Didemnum	genus
Dilsea	genus
Dimorphococcus	genus
Diplopelta	genus
Diplopsalopsis	genus
Dissodinium	genus
Ditylum	genus
Dorymenia	genus
Drilonereis	genus
Thyonidium	genus
Dudresnaya	genus
Dumontia	genus
Durinskia	genus
Echinocyamus	genus
Echinocythereis	genus
Gracilechinus	genus
Echiurus	genus
Ecnomus	genus
Ecrobia	genus
Edukemius	genus
Einhornia	genus
Eiseniella	genus
Elysia	genus
Emarginula	genus
Emiliania	genus
Enipo	genus
Ennucula	genus
Entalina	genus
Entelurus	genus
Epicladia	genus
Epimeria	genus
Erythrocladia	genus
Erythrodermis	genus
Erythromma	genus
Erythrotrichia	genus
Esox	genus
Eualus	genus
Eucampia	genus
Eudendrium	genus
Eudorellopsis	genus
Eugyra	genus
Eulalia	genus
Eulimella	genus
Sige	genus
Eunereis	genus
Euphysa	genus
Baeonectes	genus
Eurydice	genus
Eurynome	genus
Parexogone	genus
Fabriciola	genus
Fabulina	genus
Facelina	genus
Fibrocapsa	genus
Filograna	genus
Fissidens	genus
Flabelligera	genus
Edmundsella	genus
Coryphella	genus
Flustra	genus
Franceia	genus
Funiculina	genus
Fusola	genus
Galba	genus
Gari	genus
Gasterosteus	genus
Gastrosaccus	genus
Geryon	genus
Steromphala	genus
Glossiphonia	genus
Glossobalanus	genus
Glycinde	genus
Glyphohesione	genus
Glyptocephalus	genus
Gnathophausia	genus
Gobiusculus	genus
Golenkinia	genus
Thysanocardia	genus
Gomontia	genus
Gomphonella	genus
Gonactinia	genus
Goneplax	genus
Goniada	genus
Gonium	genus
Gonothyraea	genus
Gonyostomum	genus
Gordius	genus
Gorgonocephalus	genus
Grandidierella	genus
Graphis	genus
Griffithsia	genus
Gymnocephalus	genus
Lepidodinium	genus
Podarkeopsis	genus
Haemopis	genus
Halarachnion	genus
Halcampa	genus
Halcampoides	genus
Halice	genus
Halichoerus	genus
Haliclystus	genus
Halidrys	genus
Haliella	genus
Haliphron	genus
Malmgrenia	genus
Harrimania	genus
Haslea	genus
Hathrometra	genus
Hauchiella	genus
Haustorius	genus
Helgicirrha	genus
Helicotheca	genus
Mesogloia	genus
Hemigrapsus	genus
Hemilepton	genus
Hemimysis	genus
Heptagenia	genus
Hermania	genus
Heteranomia	genus
Baltidrilus	genus
Heteroclymene	genus
Heterosiphonia	genus
Heterotanais	genus
Heterotanytarsus	genus
Heterotrissocladius	genus
Hincksia	genus
Hippasteria	genus
Hippodonta	genus
Hippoglossoides	genus
Hippolyte	genus
Hippomedon	genus
Homarus	genus
Hormathia	genus
Hubrechtella	genus
Hyala	genus
Podocoryna	genus
Hydractinia	genus
Hydrallmania	genus
Hydroides	genus
Ilyarachna	genus
Iphimedia	genus
Iphinoe	genus
Ischnomesus	genus
Ischnura	genus
Janira	genus
Kadosactis	genus
Kellia	genus
Keratococcus	genus
Kolkwitziella	genus
Kophobelemnon	genus
Kryptoperidinium	genus
Kurtiella	genus
Labidoplax	genus
Laboea	genus
Labrus	genus
Laetmatophilus	genus
Laetmonice	genus
Saccharina	genus
Lamprops	genus
Lanassa	genus
Lanice	genus
Laodicea	genus
Laonome	genus
Leaena	genus
Neoleanira	genus
Lebbeus	genus
Leitoscoloplos	genus
Lekanesphaera	genus
Lepeophtheirus	genus
Lepeta	genus
Lepidepecreum	genus
Lepidostoma	genus
Leptocerus	genus
Leptochiton	genus
Leptoclinus	genus
Leptodora	genus
Leptomysis	genus
Leptophoxus	genus
Lessardia	genus
Lesueurigobius	genus
Leucothoe	genus
Levinsenia	genus
Libellula	genus
Limacia	genus
Limanda	genus
Limatula	genus
Limaria	genus
Limnactinia	genus
Limnoria	genus
Lineus	genus
Lioloma	genus
Lipobranchius	genus
Lithodes	genus
Lithodesmium	genus
Lomentaria	genus
Desmophyllum	genus
Lophius	genus
Curtitoma	genus
Lota	genus
Lucinoma	genus
Lumbriclymene	genus
