taxon_name_from	taxon_name_to	Match_type	taxon_id (if not in DynTaxa)	Note
EPHEMEROPTERA	Ephemeroptera	felstav		
Epicladia flustrae	Acrochaete flustrae	Exact		
Epitonium clathrum	Epitonium clathrus	Exact		
Ericthonius hunteri	Ericthonius rubricornis	Exact		
Erythrops erythrophthalma	Erythrops erythrophthalmus	Exact		
Erythrops serrata	Erythrops serratus	Exact		
Eteone lactea	Eteone foliosa	Exact		
Euchaeta	Paraeuchaeta	Exact		
Euglena acus	Lepocinclis acus	Exact		
Euglena oxyuris	Lepocinclis oxyuris	Exact		
Eukaryotic picoplankton	Eukaryotic picoplankton species incertae sedis	antag felstav		
Eumida fusigera	Sige fusigera	Exact		
Eupagurus bernhardus	Pagurus bernhardus	Exact		
Eupodiscales	Triceratiales			
Eurycope mutica	Baeonectes muticus	Exact		
Euspira pulchella	Euspira nitida	Exact		
Exogone hebes	Parexogone hebes	Exact		
Fabricia sabella	Fabricia stellaris	Exact		
Fabriciinae	Fabriciidae	Exact		
Filamentous fine	Biota			
Fish	Pisces		6000995	
Flabellina pedata	Edmundsella pedata	Exact		
Flabellina verrucosa	Coryphella verrucosa	Exact		
Flagellates	Flagellate	antag felstav		
Flagellates species incertae sedis	Flagellates			
Fonatinalis	Fontinalis	antag felstav		
Fragilaria fasciculata	Tabularia fasciculata	Exact		
Fragilaria gaillonii	Tabularia gaillonii	Exact		
Fragilaria striatula	Grammonema striatulum	OK	263254	
Fragilaria ulna var. acus	Ulnaria acus	Exact		
Fragilaria ulna var. ulna	Ulnaria ulna var. ulna	antag felstav		
Fucus vesiculosus/radicans	Fucus radicans/Fucus vesiculosus		6020447	Artkomplex
Funiculina quadriangularis	Funiculina quadrangularis	Exact		
GAMMARUS SP.	Gammarus	felstav		
Gastropoda egg capsule	Gastropoda	antag felstav		
Gastropoda egg capsules	Gastropoda	antag felstav		
Gastropoda/Bivalvia	Mollusca	antag felstav		
Gattyana cirrosa	Gattyana cirrhosa	Exact		
Glaux maritima	Lysimachia maritima	Exact		
Glycera gigantea	Glycera fallax	exact		
Glycera rouxi	Glycera unicornis	exact		
Glycera rouxii	Glycera unicornis	exact		
Glycera rouxii, frgm	Glycera rouxii	antag felstav		
Gnathia oxyurea	Gnathia oxyuraea	Exact		
Golfingia procera	Thysanocardia procera	Exact		
Golfingia sp	Golfingia 	antag felstav		
Gomphonema olivaceum	Gomphonella olivacea		248641	"Finns i Worms med synonymen ""Echinella olivacea"", som i sin tur finns i Dyntaxa som ""Gomphonella olivacea"". ""Gomphonema olivaceum"" finns i Dyntaxa som ""Gomphonema olivaceum s.lat."" och har blivit splitad till flera arter. "
Gomphonema olivaceum v. olivaceum	Gomphonema olivaceum var. olivaceum			
